date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:38:09	65/65	---M--	200	added ('OK')	text/plain	date:Thu,%2015%20Nov%202018%2006:20:54%20GMT	https://psdmhq.in/robots.txt		(from )
21:38:10	65844/65844	---M--	200	added ('OK')	text/html	date:Fri,%2007%20Apr%202023%2016:08:03%20GMT	https://psdmhq.in/	C:/My%20Web%20Sites/karina/psdmhq.in/index.html	(from )
21:38:10	29781/29781	---MC-	404	error ('Not%20Found')	text/html	date:Fri,%2007%20Apr%202023%2016:08:05%20GMT	https://psdmhq.in/themes/bar/psdm/img/fav.png	C:/My%20Web%20Sites/karina/psdmhq.in/themes/bar/psdm/img/fav.png	(from https://psdmhq.in/)
21:38:10	55885/55885	---M--	200	added ('OK')	text/css	date:Tue,%2010%20Nov%202020%2007:13:19%20GMT	https://psdmhq.in/assets/46cf9415/css/jquery-ui-bootstrap.css	C:/My%20Web%20Sites/karina/psdmhq.in/assets/46cf9415/css/jquery-ui-bootstrap.css	(from https://psdmhq.in/)
21:38:11	85577/85577	---M--	200	added ('OK')	application/javascript	date:Tue,%2010%20Nov%202020%2007:15:18%20GMT	https://psdmhq.in/assets/56a085f4/jquery.js	C:/My%20Web%20Sites/karina/psdmhq.in/assets/56a085f4/jquery.js	(from https://psdmhq.in/)
21:38:11	1144/1144	---M--	200	added ('OK')	application/javascript	date:Tue,%2010%20Nov%202020%2007:15:18%20GMT	https://psdmhq.in/assets/56a085f4/jquery.yii.js	C:/My%20Web%20Sites/karina/psdmhq.in/assets/56a085f4/jquery.yii.js	(from https://psdmhq.in/)
21:38:11	62187/62187	---M--	200	added ('OK')	application/javascript	date:Tue,%2010%20Nov%202020%2007:13:15%20GMT	https://psdmhq.in/assets/46cf9415/js/bootstrap.js	C:/My%20Web%20Sites/karina/psdmhq.in/assets/46cf9415/js/bootstrap.js	(from https://psdmhq.in/)
21:38:11	8362/8362	---M--	200	added ('OK')	text/css	date:Sat,%2017%20Nov%202018%2010:31:10%20GMT	https://psdmhq.in/themes/bar/psdm/css/linearicons.css	C:/My%20Web%20Sites/karina/psdmhq.in/themes/bar/psdm/css/linearicons.css	(from https://psdmhq.in/)
21:38:12	137557/137557	---M--	200	added ('OK')	text/css	date:Mon,%2014%20Jan%202019%2006:05:18%20GMT	https://psdmhq.in/themes/bar/psdm/css/bootstrap.css	C:/My%20Web%20Sites/karina/psdmhq.in/themes/bar/psdm/css/bootstrap.css	(from https://psdmhq.in/)
21:38:12	121200/121200	---MCZ	200	added ('OK')	text/css	date:Mon,%2025%20Jan%202021%2022:03:59%20GMT	https://maxcdn.bootstrapcdn.com/bootstrap/3.3.7/css/bootstrap.min.css	C:/My%20Web%20Sites/karina/maxcdn.bootstrapcdn.com/bootstrap/3.3.7/css/bootstrap.min.css	(from https://psdmhq.in/)
21:38:12	6951/6951	---M--	200	added ('OK')	text/css	date:Sat,%2017%20Nov%202018%2010:31:14%20GMT	https://psdmhq.in/themes/bar/psdm/css/magnific-popup.css	C:/My%20Web%20Sites/karina/psdmhq.in/themes/bar/psdm/css/magnific-popup.css	(from https://psdmhq.in/)
21:38:12	4007/4007	---M--	200	added ('OK')	text/css	date:Sat,%2017%20Nov%202018%2010:31:26%20GMT	https://psdmhq.in/themes/bar/psdm/css/nice-select.css	C:/My%20Web%20Sites/karina/psdmhq.in/themes/bar/psdm/css/nice-select.css	(from https://psdmhq.in/)
21:38:13	4112/4112	---M--	200	added ('OK')	text/css	date:Sat,%2017%20Nov%202018%2010:31:26%20GMT	https://psdmhq.in/themes/bar/psdm/css/owl.carousel.css	C:/My%20Web%20Sites/karina/psdmhq.in/themes/bar/psdm/css/owl.carousel.css	(from https://psdmhq.in/)
21:38:13	52789/52789	---M--	200	added ('OK')	text/css	date:Sat,%2017%20Nov%202018%2010:30:52%20GMT	https://psdmhq.in/themes/bar/psdm/css/animate.min.css	C:/My%20Web%20Sites/karina/psdmhq.in/themes/bar/psdm/css/animate.min.css	(from https://psdmhq.in/)
21:38:13	35973/35973	---M--	200	added ('OK')	text/css	date:Sat,%2017%20Nov%202018%2010:31:10%20GMT	https://psdmhq.in/themes/bar/psdm/css/jquery-ui.css	C:/My%20Web%20Sites/karina/psdmhq.in/themes/bar/psdm/css/jquery-ui.css	(from https://psdmhq.in/)
21:38:14	96577/96577	---M--	200	added ('OK')	text/css	date:Tue,%2020%20Nov%202018%2011:35:18%20GMT	https://psdmhq.in/themes/bar/psdm/css/main.css	C:/My%20Web%20Sites/karina/psdmhq.in/themes/bar/psdm/css/main.css	(from https://psdmhq.in/)
21:38:14	3775/3775	---M--	200	added ('OK')	text/css	date:Sat,%2017%20Nov%202018%2010:31:08%20GMT	https://psdmhq.in/themes/bar/psdm/css/iconmoon.fonts.css	C:/My%20Web%20Sites/karina/psdmhq.in/themes/bar/psdm/css/iconmoon.fonts.css	(from https://psdmhq.in/)
21:38:14	31000/31000	---M--	200	added ('OK')	text/css	date:Sat,%2017%20Nov%202018%2010:31:02%20GMT	https://psdmhq.in/themes/bar/psdm/css/font-awesome.min.css	C:/My%20Web%20Sites/karina/psdmhq.in/themes/bar/psdm/css/font-awesome.min.css	(from https://psdmhq.in/)
21:38:15	458438/458438	---M--	200	added ('OK')	text/css	date:Sat,%2017%20Nov%202018%2010:31:36%20GMT	https://psdmhq.in/themes/bar/psdm/css/ultimate.css	C:/My%20Web%20Sites/karina/psdmhq.in/themes/bar/psdm/css/ultimate.css	(from https://psdmhq.in/)
